ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2607086C849BTH,Hoàn thành,237219315260668,2026-07-08 21:15:23,2026-07-10 21:23:28,2026-07-08 21:14:25,TBN Strength,46721735,Preferred(Non-CB),23885713204,"Giày Deadlift Slippers TBN Strength - Giày Tập Gym Đế Siêu Mỏng, Bám Sàn, Cảm Giác Chân Thật",187125500241,Normal Product,,Thể Thao & Dã Ngoại,Giày Thể Thao,Giày Tập Luyện,469000,1,XTRA Comm,,389270,,7.00%,27248.9,8.00%,31141.6,58390.5,27248.9,31141.6,58390.5,,0,0.00%,0,100.00%,58390.5,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607086C64B04Y,Đang chờ xử lý,237219249212540,2026-07-08 21:14:09,,2026-07-08 21:13:34,COCKSTOCK,179115994,Shopee Mall(Non-CB),23574257195,Khuyên tai vòng đá bạc COCKSTOCK bông tai nữ khuyên tai tròn lấp lánh Glitter Hoop Silver,197187310124,Normal Product,,Phụ Kiện Thời Trang,Bông tai,,127000,1,XTRA Comm,,114300,,7.00%,8001,5.00%,5715,13716,8001,5715,13716,,0,0.00%,0,100.00%,13716,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260708451AHJJE,Đang chờ xử lý,237142852278092,2026-07-08 00:00:52,,2026-07-07 00:06:53,H A P P Y H O U S E Decor,122775186,Preferred(Non-CB),22463967551,Kệ sách 3 4 5 tầng đa năng decor phòng cực xinh theo phong cách Hàn Chất Liệu MDF,395657932844,Normal Product,,Nhà cửa & Đời sống,Nội thất,Kệ & Giá,389000,1,XTRA Comm,,289000,,3.50%,10115,10.00%,28900,39015,10115,28900,39015,,0,0.00%,0,100.00%,39015,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070844G55HUC,Đã hủy,237142276218158,2026-07-07 23:51:16,--,2026-07-07 23:44:22,dzu.sg,28371593,Preferred(Non-CB),47059956376,Áo sơ mi kẻ thêu gấu form lửng - DZU.SG,149353953398,Normal Product,,Thời Trang Nữ,Áo,Áo sơ mi,374000,0,Shopee Comm,,0,287780,7.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng bị hủy bởi người mua.,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
26070844G55HUB,Đã hủy,237142276218158,2026-07-07 23:51:16,--,2026-07-07 23:44:06,U.found Thebasic,376135702,Preferred(Non-CB),28134582991,Quần suông ống rộng đáp gấu ngang Stella Pants - 𝒖.𝒇𝒐𝒖𝒏𝒅,167138980585,Normal Product,,Thời Trang Nữ,Quần,Quần dài,334000,0,XTRA Comm,,0,241580,7.00%,0,6.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng bị hủy bởi người mua.,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
26070741BS7TTX,Hoàn thành,237138907260329,2026-07-07 22:55:15,2026-07-10 20:49:04,2026-07-07 22:53:42,vinamilk_official,975865932,Shopee Mall(Non-CB),28993839203,[Bao Bì Mới- Chọn Vị] Hộp giấy Bột ăn dặm Vinamilk Ridielac 200g,375318368605,Normal Product,,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,"Cháo, Thực phẩm xay nhuyễn & Ngũ cốc",51279,1,Shopee Comm,,36279,,3.50%,1269.765,0.00%,0,1269.765,1269.765,0,1269.765,,0,0.00%,0,100.00%,1269.765,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073U95R29R,Đã hủy,237132377267010,2026-07-07 21:06:25,--,2026-07-07 21:05:58,Shop Sữa Baby Kid,613588583,Preferred(Non-CB),25141100884,"[VỊ THANH NHẠT]ColosBaby Gold0+,1+,2+ đủ số lon 800gr (DATE MỚI NHẤT-A)",242586645972,Normal Product,,Mẹ & Bé,Sữa công thức & Thực phẩm cho bé,Sữa công thức,555000,0,Shopee Comm,,0,2109000,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073R4MXSQ6,Đang chờ xử lý,237129005214198,2026-07-07 20:10:05,,2026-07-07 20:09:55,TIDY HOME STORE,1090628930,Preferred(Non-CB),53304702757,"Keo Dán Giày Dép SUBIDA Đỏ Siêu Dính, Siêu Bền, Chống Nước, Dán Da Vải Cao Su Hiệu Quả 60ml",395436959574,Normal Product,,Nhà cửa & Đời sống,Dụng cụ & Thiết bị tiện ích,Keo & chất kết chính công nghiệp,13872,1,XTRA Comm,,13872,,3.50%,485.52,2.00%,277.44,762.96,485.52,277.44,762.96,,0,0.00%,0,100.00%,762.96,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073R22YV78,Hoàn thành,237128918268584,2026-07-07 20:08:46,2026-07-10 02:02:14,2026-07-07 20:08:03,Blue Whale VN,1053512566,Preferred(Non-CB),29318903628,Combo 30 Móc Treo Quần Áo Chống Trượt Thông Minh Xoay 360 Độ Đa Năng Chất Nhựa Cao Cấp Bền,257128666374,Normal Product,,Nhà cửa & Đời sống,Sắp xếp nhà cửa,Mắc áo,136000,1,XTRA Comm,,109120,,3.50%,3819.2,2.00%,2182.4,6001.6,3819.2,2182.4,6001.6,,0,0.00%,0,100.00%,6001.6,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073QVBVSWG,Đã hủy,237128727273257,2026-07-07 20:05:28,--,2026-07-07 20:03:45,Bamboo Mart - Bách Hoá Online,41343601,Preferred(Non-CB),27624660204,Hạt Nêm Knorr Nấm Hương Organic Đậm Vị Nấm Tự Nhiên Phù Hợp Món Chay 800g,436020901442,Normal Product,,Thực phẩm và đồ uống,Nguyên liệu nấu ăn,Phụ gia thực phẩm,99000,0,XTRA Comm,,0,82720,3.50%,0,8.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng bị hủy bởi người bán.,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073GSHE6UG,Đang chờ xử lý,237121116235715,2026-07-07 17:58:37,,2026-07-07 17:57:43,Cocoon Vietnam Chính Hãng,175753395,Shopee Mall(Non-CB),3104684623,Gel bí đao rửa mặt Cocoon giảm dầu & mụn 140ml,72104219379,Normal Product,,Sắc Đẹp,Chăm sóc da mặt,Sữa rửa mặt,172800,1,XTRA Comm,,143424,,3.50%,5019.84,6.00%,8605.44,13625.28,5019.84,8605.44,13625.28,,0,0.00%,0,100.00%,13625.28,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607073GC39W3P,Hoàn thành,237120665209786,2026-07-07 17:51:05,2026-07-09 10:26:46,2026-07-07 17:50:47,THE QUẠO,118292728,Shopee Mall(Non-CB),51262715782,THE QUẠO - Quần Jean Cạp Thấp Vừa Dáng Loe Nhẹ Low-Rise Medium N1706_766,302723014612,Normal Product,,Thời Trang Nữ,Quần jeans,,239400,1,XTRA Comm,,205884,,7.00%,14411.88,2.00%,4117.68,18529.56,14411.88,4117.68,18529.56,,0,0.00%,0,100.00%,18529.56,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073GBYJ2YU,Đang chờ xử lý,237120661280582,2026-07-07 17:51:01,,2026-07-07 17:50:45,TH true mart Official Store,626294568,Shopee Mall(Non-CB),14436615072,Thùng 12 hộp sữa tươi tiệt trùng TH true MILK có đường 1 L (1 L x 12),86597441990,Normal Product,,Thực phẩm và đồ uống,Sữa - trứng,Sữa,618503,1,Shopee Comm,,488617,,3.50%,17101.595,0.00%,0,17101.595,17101.595,0,17101.595,,0,0.00%,0,100.00%,17101.595,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073AQJW1N4,Đang chờ xử lý,237114608216875,2026-07-07 16:10:08,,2026-07-07 16:08:58,Judydoll Official Store,341989119,Shopee Mall(CB),3269390370,Phấn Má Hồng Đơn Sắc JUDYDOLL Blush Powder Mịn mờ Chuẩn màu Tiệp da Bền màu 2g,65832287843,Normal Product,477156593975518_0_0,Sắc Đẹp,Trang điểm,Trang điểm mặt,124000,1,XTRA Comm,,45144,,3.50%,1580.04,12.00%,5417.28,6997.32,1580.04,5417.28,6997.32,,0,0.00%,0,100.00%,6997.32,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607073AQJW1N4,Đang chờ xử lý,237114608216875,2026-07-07 16:10:08,,2026-07-07 16:08:58,Judydoll Official Store,341989119,Shopee Mall(CB),26972118641,[Quà TẶNG] Khăn lau trang điểm làm sạch JUDYDOLL,252369715370,Normal Product,477156593975518_0_0,Sắc Đẹp,Trang điểm,Tẩy trang,0,1,XTRA Comm,,0,,3.50%,0,12.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070737GD97M4,Đã hủy,237111146212574,2026-07-07 15:12:27,--,2026-07-07 13:15:37,Laforin chính hãng - CPC1HN,1523266015,Preferred(Non-CB),43501608220,"Laforin Baby Hương Cam - Nước Súc Miệng Giảm Sâu Răng, Vệ Sinh Răng Miệng Cho Bé (Chai 350ml)",260978721314,Normal Product,,Sức Khỏe,Chăm sóc cá nhân,Vệ sinh răng miệng,109000,0,Shopee Comm,,0,78480,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,,,,,,Facebook
26070735T3PKQF,Hoàn thành,237109324221369,2026-07-07 14:42:04,2026-07-08 21:22:17,2026-07-07 14:38:37,Pigbabystore - Tole Lanh VNXK,449737846,Preferred(Non-CB),13752637497,"Đồ Bộ Tole Nữ, Đồ Bộ Tole Mặc Nhà Cánh Tiên Quần Lửng Mềm Mát 40-75kg Có Bigsize Chất Vải Lanh VNXK | Pigbabystore",225859066203,Normal Product,,Thời Trang Nữ,Đồ ngủ,Pyjama,135000,1,XTRA Comm,,100067,,7.00%,7004.69,5.00%,5003.35,12008.04,21014,10006.7,31020.7,,0,0.00%,0,100.00%,31020.7,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070735T3PKQF,Hoàn thành,237109324221369,2026-07-07 14:42:04,2026-07-08 21:22:17,2026-07-07 14:38:37,Pigbabystore - Tole Lanh VNXK,449737846,Preferred(Non-CB),13752637497,"Đồ Bộ Tole Nữ, Đồ Bộ Tole Mặc Nhà Cánh Tiên Quần Lửng Mềm Mát 40-75kg Có Bigsize Chất Vải Lanh VNXK | Pigbabystore",282736542142,Normal Product,,Thời Trang Nữ,Đồ ngủ,Pyjama,135000,1,XTRA Comm,,100067,,7.00%,7004.69,5.00%,5003.35,12008.04,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070735T3PKQF,Hoàn thành,237109324221369,2026-07-07 14:42:04,2026-07-08 21:22:17,2026-07-07 14:38:37,Pigbabystore - Tole Lanh VNXK,449737846,Preferred(Non-CB),27617143615,"Đồ Tole Nữ Mặc Nhà, Bộ Tone Lanh Cánh Tiên Quần Lửng 40-75kg Đồ Ngủ Bigsize - Pigbabystore",168551564170,Normal Product,,Thời Trang Nữ,Đồ ngủ,Pyjama,135000,1,Shopee Comm,,100066,,7.00%,7004.62,0.00%,0,7004.62,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070733FDUCG8,Đang chờ xử lý,237106818283428,2026-07-07 14:00:18,,2026-07-07 13:59:37,Sumlly,1470594678,Preferred(Non-CB),29035016937,"Váy hai dây kẻ sọc xanh mới phong cách Hàn Quốc phối ren xù, váy dài mùa hè ngọt ngàoVáy 2 dâyVáy Nữ",234172071180,Normal Product,,Thời Trang Nữ,Đầm,,191530,1,XTRA Comm,,191530,,7.00%,13407.1,3.00%,5745.9,19153,13407.1,5745.9,19153,,0,0.00%,0,100.00%,19153,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070730DC85YN,Hoàn thành,237103528271785,2026-07-07 13:05:28,2026-07-09 16:38:10,2026-07-07 13:04:48,mig.cool,660113526,Preferred(Non-CB),47158072564,"Quần Jean Heavy Wide Migcool, quần dài ống rộng Migcool chất Jean cao cấp Premium J02",410715905048,Normal Product,,Thời Trang Nam,Quần jean,,249000,1,XTRA Comm,,199000,,7.00%,13930,2.00%,3980,17910,27860,7960,35820,,0,0.00%,0,100.00%,35820,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
26070730DC85YN,Hoàn thành,237103528271785,2026-07-07 13:05:28,2026-07-09 16:38:10,2026-07-07 13:04:48,mig.cool,660113526,Preferred(Non-CB),47158072564,"Quần Jean Heavy Wide Migcool, quần dài ống rộng Migcool chất Jean cao cấp Premium J02",410715905051,Normal Product,,Thời Trang Nam,Quần jean,,249000,1,XTRA Comm,,199000,,7.00%,13930,2.00%,3980,17910,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072XHNYYHW,Đang chờ xử lý,237101525223291,2026-07-07 12:32:05,,2026-07-07 06:25:33,Applecrumby Việt Nam,1527744571,Shopee Mall(Non-CB),45750826683,[COMBO 2 Túi] Bỉm tã quần đêm Applecrumby Airplus Overnight Pull Ups Size M–XXXL chính hãng,340071906068,Normal Product,,Mẹ & Bé,Tã & bô em bé,Tã dùng một lần,1344000,1,Shopee Comm,,879018,,3.50%,30765.63,0.00%,0,30765.63,30765.63,0,30765.63,,0,0.00%,0,100.00%,30765.63,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ các Shop khác nhau,Đã tồn tại,,,,,,Facebook
2607072S1D18EE,Hoàn thành,237095610241742,2026-07-07 10:53:31,2026-07-11 10:51:41,2026-07-07 10:53:09,Tấm Lòng Nhà,1502185398,C2C(Non-CB),52504207128,"Bông Tắm Tròn Vải Lưới Mềm Mại Siêu Tạo Bọt, Dễ Dùng",415399280514,Normal Product,,Nhà cửa & Đời sống,Đồ dùng phòng tắm,Bông tắm,8990,1,XTRA Comm,,8990,,3.50%,314.65,6.00%,539.4,854.05,314.65,539.4,854.05,,0,0.00%,0,100.00%,854.05,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072RQWRTN2,Hoàn thành,237095292255683,2026-07-07 10:48:14,2026-07-10 20:49:11,2026-07-07 10:47:32,Zeambi Official Store,68551291,Shopee Mall(Non-CB),9486063799,"Canxi Bearikid Calcium Plus | Canxi Zeambi Hữu Cơ Thế Hệ Mới, Vị Cam Dễ Uống Cho Trẻ",83957950004,Normal Product,,Mẹ & Bé,Chăm sóc sức khỏe bé,Vitamin & Thực phẩm bổ sung,320000,1,Shopee Comm,,262300,,3.50%,9180.5,0.00%,0,9180.5,9180.5,0,9180.5,,0,0.00%,0,100.00%,9180.5,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072JMFKDVE,Đang chờ xử lý,237088734289646,2026-07-07 08:58:54,,2026-07-07 08:58:14,Thế giới sữa Tinkids,1854770986,C2C(Non-CB),44712362109,Sữa Bột GLUCARE GOLD Nutricare Giúp Cân Bằng Đường Huyết Giảm Biến Chứng Tim Mạch Hỗ Trợ Người Đái Tháo Đường 850G/Lon,421070642758,Normal Product,,Thực phẩm và đồ uống,Sữa - trứng,Sữa,445900,5,XTRA Comm,,1761305,,3.50%,50000,4.00%,70452.2,120452.2,50000,70452.2,120452.2,,0,0.00%,0,100.00%,120452.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072JJ55JQ7,Đang chờ xử lý,237088656231387,2026-07-07 08:57:36,,2026-07-07 08:56:43,Thế giới sữa Tinkids,1854770986,C2C(Non-CB),44712362109,Sữa Bột GLUCARE GOLD Nutricare Giúp Cân Bằng Đường Huyết Giảm Biến Chứng Tim Mạch Hỗ Trợ Người Đái Tháo Đường 850G/Lon,421070642758,Normal Product,,Thực phẩm và đồ uống,Sữa - trứng,Sữa,445900,5,XTRA Comm,,1721805,,3.50%,50000,4.00%,68872.2,118872.2,50000,68872.2,118872.2,,0,0.00%,0,100.00%,118872.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072HCXXV88,Hoàn thành,237087408210865,2026-07-07 08:36:49,2026-07-09 12:54:59,2026-07-07 08:36:10,VN_Torriden Official Store,436346871,Shopee Mall(CB),21271609202,"[Torriden Chính hãng] [SET] Serum DIVE IN, 50ml+50ml",107904327955,Normal Product,476751239660203_0_0,Sắc Đẹp,Chăm sóc da mặt,Tinh chất dưỡng,510000,1,XTRA Comm,,364260,,3.50%,12749.1,15.00%,54639,67388.1,12749.1,54639,67388.1,,0,0.00%,0,100.00%,67388.1,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072HCXXV88,Hoàn thành,237087408210865,2026-07-07 08:36:49,2026-07-09 12:54:59,2026-07-07 08:36:10,VN_Torriden Official Store,436346871,Shopee Mall(CB),56613297473,[1 miếng] [Hàng Tặng Kèm Không Bán] Torriden Mặt nạ giấy dưỡng trắng sáng da CELLMAZING chứa Vitamin C,351151086455,Normal Product,476751239660203_0_0,Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607072GT49YDE,Đang chờ xử lý,237086776285179,2026-07-07 08:26:16,,2026-07-07 08:26:01,Loreal Professionnel Official,487013605,Shopee Mall(Non-CB),29355088511,[GIFT ] Dầu gội dưỡng tóc dịu nhẹ giúp cân bằng da đầu chuyên nghiệp L'Oréal Professionnel Scalp Advanced 10ml,127980142661,Normal Product,477975938679753_0_0,Sắc Đẹp,Chăm sóc tóc,Dầu gội,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,33170.2,94772,127942.2,,0,0.00%,0,100.00%,127942.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607072GT49YDE,Đang chờ xử lý,237086776285179,2026-07-07 08:26:16,,2026-07-07 08:26:01,Loreal Professionnel Official,487013605,Shopee Mall(Non-CB),42165107643,"[GIFT] Dầu gội khóa màu 5D chuyên nghiệp giúp khóa màu nhuộm, bóng tóc Vitamino Color Spectrum L'Oreal Professionnel 100",291249573302,Normal Product,477975938679753_0_0,Sắc Đẹp,Chăm sóc tóc,Dầu gội,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607072GT49YDE,Đang chờ xử lý,237086776285179,2026-07-07 08:26:16,,2026-07-07 08:26:01,Loreal Professionnel Official,487013605,Shopee Mall(Non-CB),28180797325,Combo Gội 300ml và Dầu hấp bơ 250ml dưỡng tóc mềm mượt & phục hồi hư tổn L'Oréal Professionnel Absolut Repair,237570835210,Normal Product,477975938679753_0_0,Sắc Đẹp,Chăm sóc tóc,Sản phẩm dưỡng tóc,1247000,1,XTRA Comm,,947720,,3.50%,33170.2,10.00%,94772,127942.2,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607072GT49YDE,Đang chờ xử lý,237086776285179,2026-07-07 08:26:16,,2026-07-07 08:26:01,Loreal Professionnel Official,487013605,Shopee Mall(Non-CB),29344151871,[GIFT] Dầu gội hỗ trợ làm dịu da đầu nhạy cảm L'Oréal Professionnel Scalp Advanced 100ml,355502918140,Normal Product,477975938679753_0_0,Sắc Đẹp,Chăm sóc tóc,Dầu gội,0,1,Shopee Comm,,0,,3.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607072GS9KRA2,Hoàn thành,237086748290527,2026-07-07 08:25:48,2026-07-11 12:52:02,2026-07-07 08:25:10,Nguyen Duong Beauty Supply,1293579836,Preferred(Non-CB),27954377345,[HCM-Có Sẵn] Vòm Ánh Sáng Sinh Học Cảm Ứng PDT LED DEVOIR - Bảo Hành 6 Tháng,340623321100,Normal Product,,Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ chăm sóc da mặt,1150000,1,Shopee Comm,,768453,,3.50%,26895.855,0.00%,0,26895.855,26895.855,0,26895.855,,0,0.00%,0,100.00%,26895.855,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
2607071RUD2DR5,Hoàn thành,237061049228928,2026-07-07 01:17:29,2026-07-08 08:01:24,2026-07-07 01:17:10,Unilever - Chăm Sóc Cá Nhân,111138057,Shopee Mall(Non-CB),2855276381,Nước Rửa Tay Lifebuoy Bảo Vệ Khỏi 99.9% Vi Khuẩn Gây Bệnh Hỗ Trợ Cùng Đề Kháng Da Tự Nhiên 450G,7211223800,Normal Product,,Sắc Đẹp,"Chăm sóc tay, chân & móng",Chăm sóc tay,78000,1,XTRA Comm,,67080,,3.50%,2347.8,2.00%,1341.6,3689.4,2347.8,1341.6,3689.4,,0,0.00%,0,100.00%,3689.4,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607071MK7RGRY,Hoàn thành,237056480250124,2026-07-07 00:01:21,2026-07-10 16:09:56,2026-07-06 21:28:31,Laneige Official Store,147191228,Shopee Mall(Non-CB),2278111046,Mặt nạ ngủ dành cho môi Laneige Lip Sleeping Mask 20G,4394992975,Normal Product,478235524153514_0_0,Sắc Đẹp,Chăm sóc da mặt,Sản phẩm dưỡng môi,470000,1,XTRA Comm,,357200,,3.50%,12502,7.00%,25004,37506,12502,25004,37506,,0,0.00%,0,100.00%,37506,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607071MK7RGRY,Hoàn thành,237056480250124,2026-07-07 00:01:21,2026-07-10 16:09:56,2026-07-06 21:28:31,Laneige Official Store,147191228,Shopee Mall(Non-CB),18304366178,[HB gift] Kem chống nắng Laneige Radian-C Sun Cream SPF 50+ PA++++10ml,144566383465,Normal Product,478235524153514_0_0,Sắc Đẹp,Chăm sóc da mặt,Kem chống nắng cho mặt,0,1,XTRA Comm,,0,,3.50%,0,7.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607071MK7RGRY,Hoàn thành,237056480250124,2026-07-07 00:01:21,2026-07-10 16:09:56,2026-07-06 21:28:31,Laneige Official Store,147191228,Shopee Mall(Non-CB),23863931333,[HB gift] Mặt Nạ Ngủ Laneige Bouncy & Firm Sleeping Mask 10ml tăng cường collagen và làm săn chắc da,137849977746,Normal Product,478235524153514_0_0,Sắc Đẹp,Chăm sóc da mặt,Mặt nạ,0,1,XTRA Comm,,0,,3.50%,0,7.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607071MK7RGRY,Hoàn thành,237056480250124,2026-07-07 00:01:21,2026-07-10 16:09:56,2026-07-06 21:28:31,Laneige Official Store,147191228,Shopee Mall(Non-CB),40853996790,[HB GIFT] Móc khóa trà sữa Taro LANEIGE Bubble Tea KEYRING(purple),290337645426,Normal Product,478235524153514_0_0,Túi Ví Nữ,Phụ kiện túi,Charm và phụ kiện gắn túi,0,1,XTRA Comm,,0,,7.00%,0,7.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
2607071MHBQ61N,Đang chờ xử lý,237056417292238,2026-07-07 00:00:15,,2026-07-06 21:26:45,nội thất ánh dương,65930452,Shopee Mall(Non-CB),5551161804,"Bàn học,bàn làm việc BG75 chân gấp gọn nhiều size(có giao hoả tốc)",198065687210,Normal Product,,Nhà cửa & Đời sống,Nội thất,Bàn,479200,1,XTRA Comm,,364192,,3.50%,12746.72,10.00%,36419.2,49165.92,12746.72,36419.2,49165.92,,0,0.00%,0,100.00%,49165.92,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
